SalesKey,DateKey,ProductKey,CustomerKey,RegionKey,UnitsSold,UnitPrice,DiscountPct,CostPerUnit,ReturnFlag,GrossRevenue,NetRevenue,TotalCost,Profit,RevenueLeakage
31,20210924,P006,C00201,1,3,1569,10,1272.64,1,4707,4236.3,3817.92,418.38,4236.3
32,20201025,P009,C00272,3,3,628,15,321.23,1,1884,1601.4,963.69,637.71,1601.4
33,20210111,P002,C00489,3,11,577,15,468.95,0,6347,5394.95,5158.45,236.5,0
34,20200131,P012,C00593,4,7,161,25,93.8,0,1127,845.25,656.6,188.65,0
35,20220930,P008,C00435,2,7,1727,5,1337.19,0,12089,11484.55,9360.33,2124.22,0
36,20211111,P010,C00086,3,12,562,20,362.97,1,6744,5395.2,4355.64,1039.56,5395.2
37,20240820,P009,C00470,5,3,1129,5,844.65,1,3387,3217.65,2533.95,683.7,3217.65
38,20241219,P006,C00597,3,11,201,15,133.35,1,2211,1879.35,1466.85,412.5,1879.35
39,20250617,P003,C00203,3,9,312,0,170.08,0,2808,2808,1530.72,1277.28,0
40,20220608,P008,C00043,4,6,1091,30,827.23,0,6546,4582.2,4963.38,-381.18,0
41,20221031,P007,C00121,1,4,1011,5,842.7,0,4044,3841.8,3370.8,471,0
42,20200303,P012,C00353,5,4,1291,25,882.15,0,5164,3873,3528.6,344.4,0
43,20220206,P008,C00217,3,7,1138,5,579.02,0,7966,7567.7,4053.14,3514.56,0
44,20230519,P009,C00152,4,7,1748,25,1157.99,1,12236,9177,8105.93,1071.07,9177
45,20220330,P002,C00355,4,4,901,5,590.05,1,3604,3423.8,2360.2,1063.6,3423.8
46,20200602,P006,C00321,3,4,774,20,389.24,0,3096,2476.8,1556.96,919.84,0
47,20230424,P006,C00112,5,5,891,15,610.06,0,4455,3786.75,3050.3,736.45,0
48,20221208,P003,C00424,3,1,868,20,481.91,0,868,694.4,481.91,212.49,0
49,20201029,P002,C00581,2,4,1628,20,1380.7,0,6512,5209.6,5522.8,-313.2,0
50,20240213,P012,C00382,4,12,555,25,367.62,0,6660,4995,4411.44,583.56,0
51,20220921,P007,C00303,3,10,1546,15,1022.24,1,15460,13141,10222.4,2918.6,13141
52,20230720,P008,C00524,3,4,1509,20,827.12,0,6036,4828.8,3308.48,1520.32,0
53,20220121,P003,C00256,5,10,1032,10,554.53,0,10320,9288,5545.3,3742.7,0
54,20251209,P011,C00055,2,4,753,20,430.55,0,3012,2409.6,1722.2,687.4,0
55,20210920,P003,C00272,2,10,289,5,232.89,0,2890,2745.5,2328.9,416.6,0
56,20240623,P011,C00028,5,1,1364,0,787.53,1,1364,1364,787.53,576.47,1364
57,20230410,P009,C00536,5,4,182,15,109.1,0,728,618.8,436.4,182.4,0
58,20250611,P003,C00007,4,6,438,10,294.6,0,2628,2365.2,1767.6,597.6,0
59,20220306,P008,C00232,1,2,1360,10,1109.35,0,2720,2448,2218.7,229.3,0
60,20201217,P004,C00442,5,11,530,25,446.88,1,5830,4372.5,4915.68,-543.18,4372.5
61,20210703,P005,C00180,5,5,1445,20,1114.71,0,7225,5780,5573.55,206.45,0
62,20210707,P011,C00284,2,9,505,10,328.28,1,4545,4090.5,2954.52,1135.98,4090.5
63,20231001,P003,C00181,2,1,586,15,458.84,0,586,498.1,458.84,39.26,0
64,20230304,P001,C00042,3,12,144,30,122.15,0,1728,1209.6,1465.8,-256.2,0
65,20221003,P009,C00506,3,10,1178,0,971.49,0,11780,11780,9714.9,2065.1,0
66,20200809,P009,C00551,4,3,1687,25,968.65,1,5061,3795.75,2905.95,889.8,3795.75
67,20201114,P004,C00117,2,9,1613,20,1290.94,1,14517,11613.6,11618.46,-4.86,11613.6
68,20240903,P002,C00421,5,5,280,10,181.45,0,1400,1260,907.25,352.75,0
69,20200929,P011,C00523,2,10,447,5,280.11,0,4470,4246.5,2801.1,1445.4,0
70,20251027,P009,C00018,4,8,1004,0,792.64,0,8032,8032,6341.12,1690.88,0
71,20221017,P004,C00416,5,4,1548,10,802.12,0,6192,5572.8,3208.48,2364.32,0
72,20220118,P001,C00233,1,4,351,5,268.71,1,1404,1333.8,1074.84,258.96,1333.8
73,20240111,P008,C00508,3,6,813,15,630.38,0,4878,4146.3,3782.28,364.02,0
74,20211130,P006,C00080,2,6,946,15,539.55,0,5676,4824.6,3237.3,1587.3,0
75,20200524,P002,C00044,3,11,869,15,738.51,1,9559,8125.15,8123.61,1.54,8125.15
76,20220726,P012,C00458,3,2,1251,25,967.4,0,2502,1876.5,1934.8,-58.3,0
77,20200104,P007,C00410,4,8,865,30,521.72,0,6920,4844,4173.76,670.24,0
78,20250123,P004,C00233,1,12,456,10,303.59,0,5472,4924.8,3643.08,1281.72,0
79,20220417,P006,C00206,1,1,976,5,529.33,1,976,927.2,529.33,397.87,927.2
80,20200122,P009,C00417,4,8,1507,0,905.39,0,12056,12056,7243.12,4812.88,0
81,20230915,P004,C00575,5,9,1511,15,1282.55,0,13599,11559.15,11542.95,16.2,0
82,20200723,P006,C00397,2,8,1229,15,883.56,0,9832,8357.2,7068.48,1288.72,0
83,20230722,P008,C00137,4,12,767,30,585.18,0,9204,6442.8,7022.16,-579.36,0
84,20210529,P005,C00248,3,10,445,10,337.1,0,4450,4005,3371,634,0
85,20230421,P005,C00568,5,2,1617,5,1253.49,0,3234,3072.3,2506.98,565.32,0
86,20230622,P004,C00325,4,12,937,5,508.39,0,11244,10681.8,6100.68,4581.12,0
87,20201017,P005,C00018,1,12,1233,30,646.91,0,14796,10357.2,7762.92,2594.28,0
88,20210926,P002,C00310,5,7,1552,25,1037.99,0,10864,8148,7265.93,882.07,0
89,20211117,P012,C00199,1,3,173,5,125.69,0,519,493.05,377.07,115.98,0
90,20220907,P012,C00122,2,8,1124,0,953.3,1,8992,8992,7626.4,1365.6,8992
91,20220220,P004,C00558,3,6,1139,15,843.7,1,6834,5808.9,5062.2,746.7,5808.9
92,20250120,P006,C00192,3,11,101,5,69.24,1,1111,1055.45,761.64,293.81,1055.45
93,20240307,P001,C00537,3,11,188,20,110.63,0,2068,1654.4,1216.93,437.47,0
94,20230413,P004,C00181,1,2,700,20,543.63,0,1400,1120,1087.26,32.74,0
95,20220701,P003,C00555,2,3,1034,10,825.2,1,3102,2791.8,2475.6,316.2,2791.8
96,20231002,P001,C00174,4,4,209,30,110.11,0,836,585.2,440.44,144.76,0
97,20201215,P008,C00155,5,4,1515,30,838.98,0,6060,4242,3355.92,886.08,0
98,20240808,P008,C00079,3,11,137,25,79.7,0,1507,1130.25,876.7,253.55,0
99,20250120,P001,C00576,4,7,1438,10,802.2,0,10066,9059.4,5615.4,3444,0
100,20220412,P008,C00472,4,10,667,0,363.39,0,6670,6670,3633.9,3036.1,0
101,20221215,P012,C00545,2,10,314,5,192.42,0,3140,2983,1924.2,1058.8,0
102,20240529,P007,C00520,4,6,147,15,84.59,0,882,749.7,507.54,242.16,0
103,20200102,P010,C00339,2,2,1508,15,1129.55,0,3016,2563.6,2259.1,304.5,0
104,20221213,P003,C00043,3,2,1067,30,619.21,0,2134,1493.8,1238.42,255.38,0
105,20200917,P005,C00023,1,9,775,20,414.86,0,6975,5580,3733.74,1846.26,0
106,20220430,P006,C00223,1,4,653,20,446.78,1,2612,2089.6,1787.12,302.48,2089.6
107,20210321,P010,C00104,2,8,1767,0,1421.41,0,14136,14136,11371.28,2764.72,0
108,20220504,P005,C00248,5,4,1261,20,901.64,0,5044,4035.2,3606.56,428.64,0
109,20221210,P007,C00291,1,11,1471,5,959.23,0,16181,15371.95,10551.53,4820.42,0
110,20220404,P003,C00359,1,2,319,10,203.7,0,638,574.2,407.4,166.8,0
111,20200119,P012,C00182,4,2,428,0,306.04,0,856,856,612.08,243.92,0
112,20250630,P010,C00117,5,2,1357,10,987.46,0,2714,2442.6,1974.92,467.68,0
113,20210928,P008,C00547,1,12,874,25,640.77,1,10488,7866,7689.24,176.76,7866
114,20200515,P012,C00197,5,8,1592,10,1151.68,0,12736,11462.4,9213.44,2248.96,0
115,20220804,P006,C00390,3,1,156,25,122.45,0,156,117,122.45,-5.45,0
116,20240726,P010,C00360,2,12,142,30,88.06,1,1704,1192.8,1056.72,136.08,1192.8
117,20230218,P007,C00471,1,1,272,30,136.55,0,272,190.4,136.55,53.85,0
118,20250223,P007,C00349,5,11,1356,20,763.74,0,14916,11932.8,8401.14,3531.66,0
119,20221012,P007,C00191,2,6,826,20,492.08,0,4956,3964.8,2952.48,1012.32,0
120,20230906,P004,C00057,5,7,1781,10,959.96,1,12467,11220.3,6719.72,4500.58,11220.3
121,20211119,P005,C00404,4,12,1495,20,1043.58,0,17940,14352,12522.96,1829.04,0
122,20230118,P001,C00109,3,9,944,20,487.65,1,8496,6796.8,4388.85,2407.95,6796.8
123,20240322,P003,C00139,2,8,1418,10,925.8,0,11344,10209.6,7406.4,2803.2,0
124,20221028,P003,C00396,5,5,360,30,217.93,0,1800,1260,1089.65,170.35,0
125,20200613,P002,C00095,4,7,105,15,79.11,0,735,624.75,553.77,70.98,0
126,20220407,P010,C00512,5,2,1492,0,1191.99,0,2984,2984,2383.98,600.02,0
127,20200607,P002,C00297,5,12,1108,0,597.67,0,13296,13296,7172.04,6123.96,0
128,20240329,P004,C00321,2,1,834,0,634.46,0,834,834,634.46,199.54,0
129,20230615,P004,C00248,1,6,1684,20,862.66,0,10104,8083.2,5175.96,2907.24,0
130,20201007,P009,C00280,5,4,1647,5,1159.29,1,6588,6258.6,4637.16,1621.44,6258.6
131,20201024,P006,C00430,2,7,270,0,135.53,0,1890,1890,948.71,941.29,0
132,20231109,P001,C00237,4,12,596,20,452.71,0,7152,5721.6,5432.52,289.08,0
133,20230115,P010,C00092,5,10,586,30,345.03,0,5860,4102,3450.3,651.7,0
134,20220514,P012,C00579,2,10,1153,5,894.8,0,11530,10953.5,8948,2005.5,0
135,20210111,P001,C00041,1,12,1215,20,635.81,0,14580,11664,7629.72,4034.28,0
136,20220516,P002,C00388,5,8,347,5,177.48,0,2776,2637.2,1419.84,1217.36,0
137,20241123,P012,C00185,1,6,643,30,436.01,0,3858,2700.6,2616.06,84.54,0
138,20240721,P001,C00567,4,1,118,30,87.86,1,118,82.6,87.86,-5.26,82.6
139,20240416,P003,C00127,3,11,1180,0,723.48,1,12980,12980,7958.28,5021.72,12980
140,20210809,P006,C00069,1,11,1262,5,855.88,0,13882,13187.9,9414.68,3773.22,0
141,20200706,P004,C00289,5,1,1167,5,766.6,1,1167,1108.65,766.6,342.05,1108.65
142,20240606,P004,C00461,5,8,1151,15,977.67,0,9208,7826.8,7821.36,5.44,0
143,20250216,P001,C00167,5,1,388,30,323.37,0,388,271.6,323.37,-51.77,0
144,20210425,P010,C00168,1,10,1462,0,788.87,0,14620,14620,7888.7,6731.3,0
145,20240105,P012,C00390,1,5,456,15,317.64,1,2280,1938,1588.2,349.8,1938
146,20250630,P008,C00054,5,4,1288,30,876.5,0,5152,3606.4,3506,100.4,0
147,20241020,P005,C00454,5,7,935,10,720.31,0,6545,5890.5,5042.17,848.33,0
148,20220605,P004,C00373,2,4,333,5,215.26,1,1332,1265.4,861.04,404.36,1265.4
149,20250503,P006,C00040,2,1,1206,10,984.73,1,1206,1085.4,984.73,100.67,1085.4
150,20210415,P008,C00410,2,12,182,5,92.71,0,2184,2074.8,1112.52,962.28,0
151,20211129,P012,C00175,2,11,1473,30,1019.21,0,16203,11342.1,11211.31,130.79,0
152,20210630,P009,C00040,1,5,158,5,122.45,1,790,750.5,612.25,138.25,750.5
153,20230802,P006,C00572,5,4,1748,0,1011.68,1,6992,6992,4046.72,2945.28,6992
154,20220828,P004,C00471,4,8,137,20,79.18,1,1096,876.8,633.44,243.36,876.8
155,20211019,P006,C00297,4,3,1086,10,802.39,1,3258,2932.2,2407.17,525.03,2932.2
156,20200907,P006,C00373,4,9,199,0,148.81,0,1791,1791,1339.29,451.71,0
157,20250706,P009,C00217,2,9,1219,25,991.85,0,10971,8228.25,8926.65,-698.4,0
158,20240131,P005,C00433,5,7,543,10,358.32,1,3801,3420.9,2508.24,912.66,3420.9
159,20211009,P009,C00339,1,10,1229,15,771.39,0,12290,10446.5,7713.9,2732.6,0
160,20230220,P001,C00168,5,4,1352,10,824.06,0,5408,4867.2,3296.24,1570.96,0
161,20240125,P002,C00319,2,5,679,15,368.72,1,3395,2885.75,1843.6,1042.15,2885.75
162,20210926,P005,C00595,2,6,1799,20,1152.86,1,10794,8635.2,6917.16,1718.04,8635.2
163,20200405,P012,C00594,2,3,1060,25,733.01,0,3180,2385,2199.03,185.97,0
164,20220203,P008,C00561,5,3,1536,5,1230.48,0,4608,4377.6,3691.44,686.16,0
165,20240211,P011,C00198,2,10,206,20,135.18,0,2060,1648,1351.8,296.2,0
166,20230905,P001,C00435,5,9,1336,15,915.73,0,12024,10220.4,8241.57,1978.83,0
167,20210526,P002,C00440,1,8,765,10,525.75,1,6120,5508,4206,1302,5508
168,20240206,P011,C00230,5,4,957,5,611.66,1,3828,3636.6,2446.64,1189.96,3636.6
169,20240927,P002,C00247,4,7,297,20,218.65,0,2079,1663.2,1530.55,132.65,0
170,20231014,P007,C00470,1,9,1495,20,1228.52,0,13455,10764,11056.68,-292.68,0
171,20200906,P002,C00520,4,12,1767,25,1426.86,1,21204,15903,17122.32,-1219.32,15903
172,20251128,P008,C00462,2,2,1478,15,1071.07,0,2956,2512.6,2142.14,370.46,0
173,20220203,P007,C00040,1,1,1198,10,872.29,1,1198,1078.2,872.29,205.91,1078.2
174,20201112,P007,C00565,2,4,843,20,468.26,0,3372,2697.6,1873.04,824.56,0
175,20240228,P010,C00509,2,10,692,30,448.82,1,6920,4844,4488.2,355.8,4844
176,20240531,P011,C00596,2,12,1375,20,985.05,0,16500,13200,11820.6,1379.4,0
177,20250716,P012,C00399,4,5,828,0,527.56,0,4140,4140,2637.8,1502.2,0
178,20240209,P007,C00055,3,3,463,20,376.13,0,1389,1111.2,1128.39,-17.19,0
179,20201205,P011,C00484,3,11,847,25,469.37,0,9317,6987.75,5163.07,1824.68,0
180,20230725,P009,C00338,3,4,635,20,422.3,0,2540,2032,1689.2,342.8,0
181,20250314,P001,C00552,2,12,974,30,728.6,0,11688,8181.6,8743.2,-561.6,0
182,20230523,P011,C00524,3,7,1593,10,1004.83,1,11151,10035.9,7033.81,3002.09,10035.9
183,20220922,P008,C00225,4,3,1091,25,911.38,0,3273,2454.75,2734.14,-279.39,0
184,20231229,P009,C00441,1,6,1547,10,1082.08,1,9282,8353.8,6492.48,1861.32,8353.8
185,20231026,P001,C00595,1,5,1034,10,777.08,0,5170,4653,3885.4,767.6,0
186,20200613,P006,C00569,1,12,1405,20,975.37,0,16860,13488,11704.44,1783.56,0
187,20250420,P012,C00550,2,8,1388,20,759.33,0,11104,8883.2,6074.64,2808.56,0
188,20220124,P010,C00316,3,11,1501,10,1091,0,16511,14859.9,12001,2858.9,0
189,20211203,P008,C00165,2,2,1599,20,1148.94,0,3198,2558.4,2297.88,260.52,0
190,20210603,P011,C00052,1,7,1097,0,799.82,0,7679,7679,5598.74,2080.26,0
191,20250719,P003,C00189,1,7,1380,15,1054.42,0,9660,8211,7380.94,830.06,0
192,20220122,P012,C00534,1,10,1548,20,896.72,0,15480,12384,8967.2,3416.8,0
193,20240221,P012,C00464,5,2,787,30,608.12,0,1574,1101.8,1216.24,-114.44,0
194,20240101,P012,C00196,4,4,1700,0,1149.87,0,6800,6800,4599.48,2200.52,0
195,20240715,P001,C00218,5,1,987,25,526.03,1,987,740.25,526.03,214.22,740.25
196,20230203,P004,C00073,1,9,1731,10,1339.64,1,15579,14021.1,12056.76,1964.34,14021.1
197,20250622,P004,C00561,1,12,1191,25,649.1,0,14292,10719,7789.2,2929.8,0
198,20230706,P005,C00072,5,12,1387,30,1125.06,0,16644,11650.8,13500.72,-1849.92,0
199,20230207,P003,C00316,3,7,1338,15,908.61,1,9366,7961.1,6360.27,1600.83,7961.1
200,20230302,P008,C00445,4,12,436,15,331.22,1,5232,4447.2,3974.64,472.56,4447.2
201,20200707,P007,C00130,3,11,566,20,470.93,0,6226,4980.8,5180.23,-199.43,0
202,20200206,P011,C00424,5,9,1750,0,938.13,0,15750,15750,8443.17,7306.83,0
203,20230306,P001,C00475,3,2,648,20,341.36,0,1296,1036.8,682.72,354.08,0
204,20211130,P007,C00397,1,7,287,15,145.67,0,2009,1707.65,1019.69,687.96,0
205,20211229,P010,C00195,5,5,1688,0,1167.57,0,8440,8440,5837.85,2602.15,0
206,20220412,P004,C00162,5,1,458,10,284.94,0,458,412.2,284.94,127.26,0
207,20210104,P007,C00085,1,3,318,10,268.21,1,954,858.6,804.63,53.97,858.6
208,20250826,P005,C00080,2,1,796,30,586.5,1,796,557.2,586.5,-29.3,557.2
209,20250310,P003,C00032,1,11,1530,30,771.25,1,16830,11781,8483.75,3297.25,11781
210,20210914,P003,C00577,3,11,556,20,406.49,1,6116,4892.8,4471.39,421.41,4892.8
211,20211224,P007,C00488,1,6,842,10,482.48,0,5052,4546.8,2894.88,1651.92,0
212,20251109,P008,C00081,4,11,1226,10,838.51,0,13486,12137.4,9223.61,2913.79,0
213,20210106,P003,C00457,3,5,822,10,519.08,0,4110,3699,2595.4,1103.6,0
214,20241108,P011,C00473,4,4,658,20,430.38,0,2632,2105.6,1721.52,384.08,0
215,20210506,P010,C00546,1,6,417,0,339,1,2502,2502,2034,468,2502
216,20231009,P002,C00400,4,6,121,30,100.87,0,726,508.2,605.22,-97.02,0
217,20220318,P006,C00390,3,10,1144,20,584.1,0,11440,9152,5841,3311,0
218,20240929,P004,C00578,4,12,469,10,371.26,0,5628,5065.2,4455.12,610.08,0
219,20251010,P004,C00360,5,12,1195,10,902.89,0,14340,12906,10834.68,2071.32,0
220,20210522,P012,C00192,2,5,1322,15,928.35,0,6610,5618.5,4641.75,976.75,0
221,20250114,P008,C00494,2,8,563,0,286.42,0,4504,4504,2291.36,2212.64,0
222,20200128,P009,C00270,1,10,1419,5,843.4,0,14190,13480.5,8434,5046.5,0
223,20210923,P005,C00557,4,6,427,10,216.71,0,2562,2305.8,1300.26,1005.54,0
224,20200326,P009,C00065,3,4,1486,0,1122.6,0,5944,5944,4490.4,1453.6,0
225,20240405,P005,C00403,1,9,437,15,348.71,0,3933,3343.05,3138.39,204.66,0
226,20221227,P002,C00554,2,6,1372,15,1112.11,0,8232,6997.2,6672.66,324.54,0
227,20210904,P001,C00390,5,10,1617,5,1353.56,1,16170,15361.5,13535.6,1825.9,15361.5
228,20250103,P005,C00330,4,11,990,25,516.72,1,10890,8167.5,5683.92,2483.58,8167.5
229,20230719,P012,C00417,2,8,1470,10,1195.1,0,11760,10584,9560.8,1023.2,0
230,20220116,P009,C00415,5,9,1586,20,1337.97,1,14274,11419.2,12041.73,-622.53,11419.2
231,20231010,P005,C00072,3,11,917,20,631.51,0,10087,8069.6,6946.61,1122.99,0
232,20240404,P005,C00183,4,11,1294,0,747.18,0,14234,14234,8218.98,6015.02,0
233,20240523,P004,C00118,1,12,954,10,724.47,0,11448,10303.2,8693.64,1609.56,0
234,20201017,P005,C00243,1,9,222,30,175.5,0,1998,1398.6,1579.5,-180.9,0
235,20250810,P008,C00008,2,8,353,10,182.67,0,2824,2541.6,1461.36,1080.24,0
236,20251226,P010,C00271,5,10,448,30,365.82,0,4480,3136,3658.2,-522.2,0
237,20210312,P010,C00206,5,2,423,5,261.75,0,846,803.7,523.5,280.2,0
238,20201104,P006,C00296,4,2,780,0,449.81,0,1560,1560,899.62,660.38,0
239,20230902,P009,C00465,5,6,276,25,186.89,0,1656,1242,1121.34,120.66,0
240,20230818,P001,C00288,1,8,147,0,101.33,0,1176,1176,810.64,365.36,0
241,20200530,P012,C00204,2,6,108,15,58.7,0,648,550.8,352.2,198.6,0
242,20240918,P002,C00397,5,7,1660,25,1088.04,0,11620,8715,7616.28,1098.72,0
243,20221102,P007,C00222,3,10,916,20,667.2,1,9160,7328,6672,656,7328
244,20200501,P007,C00203,5,2,1730,30,1450.9,1,3460,2422,2901.8,-479.8,2422
245,20251203,P011,C00510,4,10,114,20,58.44,0,1140,912,584.4,327.6,0
246,20200314,P011,C00420,3,2,646,5,453.59,0,1292,1227.4,907.18,320.22,0
247,20251019,P005,C00246,1,3,1073,20,629.35,0,3219,2575.2,1888.05,687.15,0
248,20250826,P010,C00307,4,3,104,20,86.3,1,312,249.6,258.9,-9.3,249.6
249,20250201,P006,C00109,2,11,227,10,120.46,1,2497,2247.3,1325.06,922.24,2247.3
250,20230705,P002,C00075,1,10,1527,20,870.16,1,15270,12216,8701.6,3514.4,12216
251,20221217,P012,C00247,2,2,821,0,448.51,1,1642,1642,897.02,744.98,1642
252,20221123,P012,C00559,5,9,649,25,377.21,1,5841,4380.75,3394.89,985.86,4380.75
253,20201008,P012,C00388,4,7,753,20,607.53,1,5271,4216.8,4252.71,-35.91,4216.8
254,20210617,P004,C00518,2,3,1672,30,1312.65,0,5016,3511.2,3937.95,-426.75,0
255,20241121,P007,C00067,4,6,1167,20,802.21,0,7002,5601.6,4813.26,788.34,0
256,20240921,P006,C00045,2,12,982,15,563,0,11784,10016.4,6756,3260.4,0
257,20210719,P009,C00590,1,2,1582,30,1283.94,1,3164,2214.8,2567.88,-353.08,2214.8
258,20200706,P007,C00527,5,11,517,0,390.52,0,5687,5687,4295.72,1391.28,0
259,20251204,P011,C00145,5,6,1008,15,599.75,0,6048,5140.8,3598.5,1542.3,0
260,20230318,P011,C00072,4,5,1356,25,1002.04,0,6780,5085,5010.2,74.8,0
261,20221209,P009,C00563,5,5,1204,15,760.71,0,6020,5117,3803.55,1313.45,0
262,20200723,P012,C00315,3,7,807,10,526.24,0,5649,5084.1,3683.68,1400.42,0
263,20250813,P009,C00526,5,10,1772,30,1047.61,0,17720,12404,10476.1,1927.9,0
264,20240901,P002,C00460,3,1,1219,20,868.38,0,1219,975.2,868.38,106.82,0
265,20250903,P011,C00485,2,10,758,30,570.23,0,7580,5306,5702.3,-396.3,0
266,20241030,P006,C00145,5,3,708,30,508.38,1,2124,1486.8,1525.14,-38.34,1486.8
267,20221107,P002,C00091,4,11,872,15,470.41,1,9592,8153.2,5174.51,2978.69,8153.2
268,20250712,P001,C00389,1,1,329,0,227.04,0,329,329,227.04,101.96,0
269,20210717,P004,C00088,5,4,1148,0,685.52,0,4592,4592,2742.08,1849.92,0
270,20200321,P003,C00371,4,9,147,10,100.51,0,1323,1190.7,904.59,286.11,0
271,20231221,P004,C00162,5,4,1788,10,1374.57,1,7152,6436.8,5498.28,938.52,6436.8
272,20211024,P004,C00505,1,1,825,0,462.62,0,825,825,462.62,362.38,0
273,20220828,P002,C00292,3,1,1739,30,1042.25,1,1739,1217.3,1042.25,175.05,1217.3
274,20241008,P001,C00285,5,4,922,20,520.87,1,3688,2950.4,2083.48,866.92,2950.4
275,20251221,P012,C00468,1,1,718,5,422.78,1,718,682.1,422.78,259.32,682.1
276,20201101,P002,C00049,2,4,1255,15,842.16,0,5020,4267,3368.64,898.36,0
277,20241113,P001,C00421,2,2,1025,15,562.63,0,2050,1742.5,1125.26,617.24,0
278,20240408,P010,C00486,5,1,1142,0,959.37,0,1142,1142,959.37,182.63,0
279,20240816,P005,C00232,1,1,1583,30,1129.05,0,1583,1108.1,1129.05,-20.95,0
280,20240606,P012,C00293,3,3,1092,0,820.24,0,3276,3276,2460.72,815.28,0
281,20231022,P001,C00259,4,9,1451,10,882.52,1,13059,11753.1,7942.68,3810.42,11753.1
282,20200404,P008,C00387,4,3,729,20,569.63,0,2187,1749.6,1708.89,40.71,0
283,20211227,P011,C00512,3,6,444,15,231.31,0,2664,2264.4,1387.86,876.54,0
284,20200723,P004,C00134,3,2,640,20,430.02,0,1280,1024,860.04,163.96,0
285,20251208,P004,C00168,4,10,943,25,769.35,0,9430,7072.5,7693.5,-621,0
286,20210820,P004,C00262,4,2,483,5,397.92,0,966,917.7,795.84,121.86,0
287,20250804,P004,C00314,1,1,749,25,438.53,1,749,561.75,438.53,123.22,561.75
288,20240421,P012,C00159,2,2,441,30,300.11,1,882,617.4,600.22,17.18,617.4
289,20210916,P005,C00411,1,8,1270,5,659.61,1,10160,9652,5276.88,4375.12,9652
290,20220130,P007,C00398,4,12,679,30,406.46,0,8148,5703.6,4877.52,826.08,0
291,20210806,P008,C00190,1,5,899,30,608.79,0,4495,3146.5,3043.95,102.55,0
292,20220402,P012,C00484,4,10,990,20,791.18,0,9900,7920,7911.8,8.2,0
293,20201201,P010,C00543,4,11,730,20,523.78,0,8030,6424,5761.58,662.42,0
294,20250704,P007,C00500,2,11,555,25,448.05,1,6105,4578.75,4928.55,-349.8,4578.75
295,20210128,P005,C00185,2,12,1596,5,1169.12,0,19152,18194.4,14029.44,4164.96,0
296,20250806,P011,C00586,3,11,1674,30,1315.73,0,18414,12889.8,14473.03,-1583.23,0
